company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000345	2023-12-31	1321960 	1071544 	1071544 	3556269 	101012 	95995 
C0000345	2022-12-31	938295 	750948 	750948 	5395423 	129317 	124319 
C0000345	2021-12-31	742541 	650906 	650906 	4490200 	116560 	102571 
C0000345	2020-12-31	688003 	466550 	466550 	2890557 	104210 	98279 
C0000345	2009-12-31	529000 	118000 	118000 	3444000 	91000 	83000 
C0000348	2024-12-31	533478248 	37126020 	398636269 	44224713 	20271870 	9534828 
C0000348	2023-12-31	510417833 	37126020 	398494876 	45548478 	20799742 	19862923 
C0000348	2022-12-31	504098515 	37126020 	388406147 	30810812 	10344734 	24016617 
C0000348	2021-12-31	489025555 	37126020 	372459519 	27852062 	11859995 	3638897 
C0000348	2020-12-31	397945889 	37126020 	380712822 	25992221 	12405028 	2398407 
C0000350	2024-12-31	132160838 	13550000 	66909954 	152744703 	-18379538 	-17240725 
C0000350	2023-12-31	135349945 	13400000 	64158472 	218041173 	-20409580 	-18168441 
C0000350	2022-12-31	119844154 	13400000 	76370267 	342924721 	6743415 	3443654 
C0000350	2021-12-31	96052390 	13250000 	66466891 	227582114 	2015026 	1667675 
C0000350	2020-12-31	97864964 	13250000 	67757504 	243457069 	20483598 	15441834 
C0000353	2024-12-31	6015951 	100000 	5089229 	4712328 	-3153322 	-3076822 
C0000353	2023-12-31	4778716 	60000 	4184562 	2495973 	-1852024 	-1785466 
C0000354	2024-12-31	95772139 	4409770 	53567663 	89670026 	2288740 	2486709 
C0000354	2023-12-31	90653260 	4409770 	51338119 	78163488 	-916779 	-2452014 
C0000354	2022-12-31	87446422 	4409770 	53422658 	65342294 	-1145451 	-1981911 
C0000354	2021-12-31	85242522 	4409770 	54927494 	51194895 	696051 	698462 
C0000354	2020-12-31	81461494 	3709770 	47234073 	38894083 	-1352848 	-2174677 
C0000573	2023-12-31	456033 	100000 	100636 	6093185 	29766 	17046 
C0000573	2022-12-31	356447 	100000 	83589 	8915586 	40188 	34887 
C0000573	2021-12-31	216610 	100000 	48702 	7489987 	-23643 	-24491 
C0000573	2020-12-31	124288 	100000 	73194 	1048784 	-26721 	-26806 
C0000574	2023-12-31	475626 	20000 	39123 	14338166 	34492 	7272 
C0000574	2022-12-31	576053 	20000 	31851 	15552407 	27529 	7890 
